Loading file decode
0 0x800007d0: lui    sp, 0x80020000
598 0x8000008c: addi   a2, a2, 4
599 0x80000090: addi   a3, a3, 1
600 0x80000094: addi   a0, zero, 16
601 0x80000098: bltu   a3, a0, 0x8000006c
602 0x8000006c: addi   a4, zero, 0
603 0x80000070: add    a1, sp, a4
604 0x80000074: lw     a1, 0(a1)
605 0x80000078: beq    a3, a1, 0x80000090
606 0x8000007c: addi   a4, a4, 4
607 0x80000080: addi   a0, zero, 32
608 0x80000084: bltu   a4, a0, 0x80000070
609 0x80000070: add    a1, sp, a4
610 0x80000074: lw     a1, 0(a1)
611 0x80000078: beq    a3, a1, 0x80000090
612 0x8000007c: addi   a4, a4, 4
613 0x80000080: addi   a0, zero, 32
614 0x80000084: bltu   a4, a0, 0x80000070
615 0x80000070: add    a1, sp, a4
616 0x80000074: lw     a1, 0(a1)
617 0x80000078: beq    a3, a1, 0x80000090
618 0x8000007c: addi   a4, a4, 4
619 0x80000080: addi   a0, zero, 32
620 0x80000084: bltu   a4, a0, 0x80000070
621 0x80000070: add    a1, sp, a4
622 0x80000074: lw     a1, 0(a1)
623 0x80000078: beq    a3, a1, 0x80000090
624 0x8000007c: addi   a4, a4, 4
625 0x80000080: addi   a0, zero, 32
626 0x80000084: bltu   a4, a0, 0x80000070
627 0x80000070: add    a1, sp, a4
628 0x80000074: lw     a1, 0(a1)
629 0x80000078: beq    a3, a1, 0x80000090
630 0x8000007c: addi   a4, a4, 4
631 0x80000080: addi   a0, zero, 32
632 0x80000084: bltu   a4, a0, 0x80000070
633 0x80000070: add    a1, sp, a4
634 0x80000074: lw     a1, 0(a1)
635 0x80000078: beq    a3, a1, 0x80000090
636 0x8000007c: addi   a4, a4, 4
637 0x80000080: addi   a0, zero, 32
638 0x80000084: bltu   a4, a0, 0x80000070
639 0x80000070: add    a1, sp, a4
640 0x80000074: lw     a1, 0(a1)
